sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
전국,01-Sep,2014년09월,0.001478499,"17,531","11,857,295","11,867,615","444,633","427,102",22,전산업,20,전직종
전국,01-Oct,2014년10월,0.007176589,"85,169","11,867,615","11,926,079","533,596","448,427",22,전산업,20,전직종
전국,01-Nov,2014년11월,0.00581809,"69,387","11,926,079","11,980,377","488,631","419,244",22,전산업,20,전직종
전국,01-Dec,2014년12월,-0.003806975,"-45,609","11,980,377","11,930,602","446,405","492,014",22,전산업,20,전직종
전국,01-Jan,2015년01월,-0.007631803,"-91,052","11,930,602","11,831,849","617,344","708,396",22,전산업,20,전직종
전국,01-Feb,2015년02월,0.008543212,"101,082","11,831,849","11,924,424","489,806","388,724",22,전산업,20,전직종
전국,01-Mar,2015년03월,0.005746525,"68,524","11,924,424","11,971,878","715,673","647,149",22,전산업,20,전직종
전국,01-Apr,2015년04월,0.011849436,"141,860","11,971,878","12,091,247","668,536","526,676",22,전산업,20,전직종
전국,01-May,2015년05월,0.005361895,"64,832","12,091,247","12,144,559","500,249","435,417",22,전산업,20,전직종
전국,01-Jun,2015년06월,0.002869351,"34,847","12,144,559","12,159,076","498,191","463,344",22,전산업,20,전직종
전국,01-Jul,2015년07월,0.002778747,"33,787","12,159,076","12,195,874","605,376","571,589",22,전산업,20,전직종
전국,01-Aug,2015년08월,0.004020868,"49,038","12,195,874","12,234,206","489,469","440,431",22,전산업,20,전직종
전국,01-Sep,2015년09월,0.007114806,"87,044","12,234,206","12,304,222","544,686","457,642",22,전산업,20,전직종
전국,01-Oct,2015년10월,0.007433465,"91,463","12,304,222","12,374,757","550,362","458,899",22,전산업,20,전직종
전국,01-Nov,2015년11월,0.004756619,"58,862","12,374,757","12,419,507","509,956","451,094",22,전산업,20,전직종
전국,01-Dec,2015년12월,-0.004008855,"-49,788","12,419,507","12,363,063","476,675","526,463",22,전산업,20,전직종
전국,01-Jan,2016년01월,-0.00658057,"-81,356","12,363,063","12,272,522","675,198","756,554",22,전산업,20,전직종
전국,01-Feb,2016년02월,0.006855559,"84,135","12,272,522","12,343,615","502,427","418,292",22,전산업,20,전직종
전국,01-Mar,2016년03월,0.00358331,"44,231","12,343,615","12,364,135","748,421","704,190",22,전산업,20,전직종
전국,01-Apr,2016년04월,0.009567026,"118,288","12,364,135","12,459,035","646,315","528,027",22,전산업,20,전직종
전국,01-May,2016년05월,0.003854071,"48,018","12,459,035","12,491,718","520,277","472,259",22,전산업,20,전직종
전국,01-Jun,2016년06월,0.003172982,"39,636","12,491,718","12,523,259","529,837","490,201",22,전산업,20,전직종
전국,01-Jul,2016년07월,0.002969195,"37,184","12,523,259","12,552,124","599,954","562,770",22,전산업,20,전직종
전국,01-Aug,2016년08월,0.002680104,"33,641","12,552,124","12,572,422","509,641","476,000",22,전산업,20,전직종
전국,01-Sep,2016년09월,0.004142877,"52,086","12,572,422","12,606,892","519,252","467,166",22,전산업,20,전직종
전국,01-Oct,2016년10월,0.006713709,"84,639","12,606,892","12,667,656","563,754","479,115",22,전산업,20,전직종
전국,01-Nov,2016년11월,0.003664214,"46,417","12,667,656","12,704,018","542,852","496,435",22,전산업,20,전직종
전국,01-Dec,2016년12월,-0.003077373,"-39,095","12,704,018","12,655,202","522,880","561,975",22,전산업,20,전직종
전국,01-Jan,2017년01월,-0.006737308,"-85,262","12,655,202","12,562,299","636,679","721,941",22,전산업,20,전직종
전국,01-Feb,2017년02월,0.008490484,"106,660","12,562,299","12,657,292","605,203","498,543",22,전산업,20,전직종
전국,01-Mar,2017년03월,0.005162242,"65,340","12,657,292","12,700,202","768,664","703,324",22,전산업,20,전직종
전국,01-Apr,2017년04월,0.00991559,"125,930","12,700,202","12,804,259","650,989","525,059",22,전산업,20,전직종
전국,01-May,2017년05월,0.002096099,"26,839","12,804,259","12,817,761","487,795","460,956",22,전산업,20,전직종
전국,01-Jun,2017년06월,0.001879892,"24,096","12,817,761","12,833,519","528,512","504,416",22,전산업,20,전직종
전국,01-Jul,2017년07월,0.001807065,"23,191","12,833,519","12,856,439","600,214","577,023",22,전산업,20,전직종
전국,01-Aug,2017년08월,0.001265203,"16,266","12,856,439","12,867,857","528,115","511,849",22,전산업,20,전직종
전국,01-Sep,2017년09월,0.002430241,"31,272","12,867,857","12,896,356","602,001","570,729",22,전산업,20,전직종
전국,01-Oct,2017년10월,0.004402484,"56,776","12,896,356","12,941,666","450,468","393,692",22,전산업,20,전직종
전국,01-Nov,2017년11월,0.004174269,"54,022","12,941,666","12,987,360","552,272","498,250",22,전산업,20,전직종
전국,01-Dec,2017년12월,-0.002038521,"-26,475","12,987,360","12,958,825","487,497","513,972",22,전산업,20,전직종
전국,01-Jan,2018년01월,-0.010318219,"-133,712","12,958,825","12,826,336","723,927","857,639",22,전산업,20,전직종
전국,01-Feb,2018년02월,0.00995982,"127,748","12,826,336","12,948,805","595,109","467,361",22,전산업,20,전직종
전국,01-Mar,2018년03월,0.004655333,"60,281","12,948,805","12,996,438","775,694","715,413",22,전산업,20,전직종
전국,01-Apr,2018년04월,0.010142317,"131,814","12,996,438","13,110,891","673,476","541,662",22,전산업,20,전직종
전국,01-May,2018년05월,0.00366535,"48,056","13,110,891","13,151,192","547,061","499,005",22,전산업,20,전직종
전국,01-Jun,2018년06월,0.002085819,"27,431","13,151,192","13,176,226","546,453","519,022",22,전산업,20,전직종
전국,01-Jul,2018년07월,0.001602811,"21,119","13,176,226","13,196,979","617,964","596,845",22,전산업,20,전직종
전국,01-Aug,2018년08월,0.002873764,"37,925","13,196,979","13,230,609","558,174","520,249",22,전산업,20,전직종
전국,01-Sep,2018년09월,0.006047114,"80,007","13,230,609","13,301,210","577,741","497,734",22,전산업,20,전직종
전국,01-Oct,2018년10월,0.006908319,"91,889","13,301,210","13,374,499","570,620","478,731",22,전산업,20,전직종
전국,01-Nov,2018년11월,0.005964784,"79,776","13,374,499","13,447,383","575,603","495,827",22,전산업,20,전직종
전국,01-Dec,2018년12월,-0.001066378,"-14,340","13,447,383","13,432,497","505,633","519,973",22,전산업,20,전직종
전국,01-Jan,2019년01월,-0.007516175,"-100,961","13,432,497","13,328,191","802,184","903,145",22,전산업,20,전직종
전국,01-Feb,2019년02월,0.008948101,"119,262","13,328,191","13,443,756","577,449","458,187",22,전산업,20,전직종
전국,01-Mar,2019년03월,0.007185789,"96,604","13,443,756","13,524,735","798,744","702,140",22,전산업,20,전직종
전국,01-Apr,2019년04월,0.009409796,"127,265","13,524,735","13,632,086","681,740","554,475",22,전산업,20,전직종
전국,01-May,2019년05월,0.004656441,"63,477","13,632,086","13,685,649","577,378","513,901",22,전산업,20,전직종
전국,01-Jun,2019년06월,0.00172743,"23,641","13,685,649","13,708,056","526,342","502,701",22,전산업,20,전직종
전국,01-Jul,2019년07월,0.002719569,"37,280","13,708,056","13,743,470","650,365","613,085",22,전산업,20,전직종
전국,01-Aug,2019년08월,0.002938195,"40,381","13,743,470","13,778,419","552,474","512,093",22,전산업,20,전직종
전국,01-Sep,2019년09월,0.003332022,"45,910","13,778,419","13,812,955","537,437","491,527",22,전산업,20,전직종
전국,01-Oct,2019년10월,0.006632542,"91,615","13,812,955","13,888,570","590,826","499,211",22,전산업,20,전직종
전국,01-Nov,2019년11월,0.0032971,"45,792","13,888,570","13,927,473","560,539","514,747",22,전산업,20,전직종
전국,01-Dec,2019년12월,-0.00418913,"-58,344","13,927,473","13,864,138","481,270","539,614",22,전산업,20,전직종
전국,01-Jan,2020년01월,-0.010751985,"-149,067","13,864,138","13,707,119","726,263","875,330",22,전산업,20,전직종
전국,01-Feb,2020년02월,0.008886185,"121,804","13,707,119","13,823,936","682,838","561,034",22,전산업,20,전직종
전국,01-Mar,2020년03월,-0.002561499,"-35,410","13,823,936","13,782,154","690,920","726,330",22,전산업,20,전직종
전국,01-Apr,2020년04월,0.002318288,"31,951","13,782,154","13,801,162","561,945","529,994",22,전산업,20,전직종
전국,01-May,2020년05월,0.003883948,"53,603","13,801,162","13,847,933","488,275","434,672",22,전산업,20,전직종
전국,01-Jun,2020년06월,0.004285477,"59,345","13,847,933","13,899,138","521,712","462,367",22,전산업,20,전직종
전국,01-Jul,2020년07월,0.003078608,"42,790","13,899,138","13,936,612","613,581","570,791",22,전산업,20,전직종
전국,01-Aug,2020년08월,0.008481832,"118,208","13,936,612","14,048,509","598,898","480,690",22,전산업,20,전직종
전국,01-Sep,2020년09월,0.008480259,"119,135","14,048,509","14,157,571","653,013","533,878",22,전산업,20,전직종
전국,01-Oct,2020년10월,0.008427717,"119,316","14,157,571","14,261,703","583,871","464,555",22,전산업,20,전직종
전국,01-Nov,2020년11월,0.005376357,"76,676","14,261,703","14,329,709","558,745","482,069",22,전산업,20,전직종
전국,01-Dec,2020년12월,-0.014919703,"-213,795","14,329,709","14,111,690","543,047","756,842",22,전산업,20,전직종
전국,01-Jan,2021년01월,-0.015598982,"-220,128","14,111,690","13,885,859","757,048","977,176",22,전산업,20,전직종
전국,01-Feb,2021년02월,0.010403678,"144,464","13,885,859","14,025,756","614,459","469,995",22,전산업,20,전직종
전국,01-Mar,2021년03월,0.007441239,"104,369","14,025,756","14,116,137","802,891","698,522",22,전산업,20,전직종
전국,01-Apr,2021년04월,0.009629688,"135,934","14,116,137","14,232,249","695,954","560,020",22,전산업,20,전직종
전국,01-May,2021년05월,0.00536535,"76,361","14,232,249","14,299,710","578,391","502,030",22,전산업,20,전직종
전국,01-Jun,2021년06월,0.005533958,"79,134","14,299,710","14,369,563","614,142","535,008",22,전산업,20,전직종
전국,01-Jul,2021년07월,0.004691792,"67,419","14,369,563","14,430,340","704,610","637,191",22,전산업,20,전직종
전국,01-Aug,2021년08월,0.003582105,"51,691","14,430,340","14,473,519","578,892","527,201",22,전산업,20,전직종
전국,01-Sep,2021년09월,0.006183361,"89,495","14,473,519","14,555,511","636,059","546,564",22,전산업,20,전직종
전국,01-Oct,2021년10월,0.005975125,"86,971","14,555,511","14,625,705","611,415","524,444",22,전산업,20,전직종
전국,01-Nov,2021년11월,0.003783134,"55,331","14,625,705","14,671,347","594,928","539,597",22,전산업,20,전직종
전국,01-Dec,2021년12월,-0.007984543,"-117,144","14,671,347","14,550,033","571,967","689,111",22,전산업,20,전직종
전국,01-Jan,2022년01월,-0.007199571,"-104,754","14,550,033","14,438,886","879,022","983,776",22,전산업,20,전직종
전국,01-Feb,2022년02월,0.011342219,"163,769","14,438,886","14,595,379","657,625","493,856",22,전산업,20,전직종
전국,01-Mar,2022년03월,0.006694859,"97,714","14,595,379","14,676,841","867,015","769,301",22,전산업,20,전직종
전국,01-Apr,2022년04월,0.009078384,"133,242","14,676,841","14,792,111","728,169","594,927",22,전산업,20,전직종
전국,01-May,2022년05월,0.002634648,"38,972","14,792,111","14,825,467","602,509","563,537",22,전산업,20,전직종
전국,01-Jun,2022년06월,0.001746792,"25,897","14,825,467","14,848,311","602,971","577,074",22,전산업,20,전직종
전국,01-Jul,2022년07월,0.001732318,"25,722","14,848,311","14,866,406","682,910","657,188",22,전산업,20,전직종
